Title,Author,Year
Critical perspectives on Harry Potter,Elizabeth E. Heilman,First published in 2008
Thunderbird Falls,C. E. Murphy,First published in 2006
The empty throne,Cayla Kluver,First published in 2015
Libby the writing fairy,Daisy Meadows,First published in 2014
Eon: Rise of the Dragoneye,Alison Goodman,First published in 1998
Dragonbane,Sherrilyn Kenyon,First published in 2015
Raising Dragons: Dragons in Our Midst #1,Bryan Davis,First published in 2007
"A Long, Long Sleep: UniCorp #1",Anna Sheehan,First published in 2011
Gates of Thread and Stone,Lori M. Lee,First published in 2014
The trees,Ali Shaw,First published in 2016
White Stag: A Permafrost Novel,Kara Barbieri,First published in 2019
"The Singing Sword (The Camulod Chronicles, Book 2)",Jack Whyte,First published in 1994
Lust,Charlotte Featherstone,First published in 2011
"Pantagruel: King of the Dipsodes restored to his natural state with his dreadful deeds and exploits written by the late M. Alcofribas, abstractor of the quintessence",François Rabelais,First published in 1903
Stone Age Boy,Satoshi Kitamura,First published in 2007
Dream House: A Novel by CutiePieMarzia,Marzia Bisognin,First published in 2016
Extremities,Kathe Koja,First published in 1998
Shards of time,Lynn Flewelling,First published in 2014
Issola,Steven Brust,First published in 2001
Vampires Not Invited,Cheyenne McCray,First published in 2010
The spirit well,Stephen R. Lawhead,First published in 2012
Inquisitor's Mark,Dianne K. Salerni,First published in 2015
April and the Dragon Lady,Lensey Namioka,First published in 1994
Sacred ground,Alex Archer,First published in 2010
The Drums of Love,Barbara Cartland,First published in 1979
Orphans of chaos,John C. Wright,First published in 2005
Children of fire,Drew Karpyshyn,First published in 2013
Star wars: the bounty hunters,Andy Mangels,First published in 2000
Roses and Rot,Kat Howard,First published in 2016
Blinding light: [a novel],Paul Theroux,First published in 2005
Julia the Sleeping Beauty Fairy,Daisy Meadows,First published in 2016
Natsume's Book of Friends 1,Yuki Midorikawa,First published in 2010
The Picture of Dorian Gray: and Selected Stories,Oscar Wilde,First published in 1962
The Murdstone trilogy,Mal Peet,First published in 2014
"The J.R.R. Tolkien handbook: a comprehensive guide to his life, writings, and world of Middle-earth",Colin Duriez,First published in 1992
How to Fall,Jane Casey,First published in 2013
The Lightstone,David Zindell,First published in 2001
The Golden Door: The Three Doors #1,Emily Rodda,First published in 2012
Jinx High:  A Diana Tregarde Investigation,Mercedes Lackey,First published in 1991
Thank you for being my friend,Peter Bently,First published in 2011
Rescuers,Margery Sharp,First published in 2010
The Coming of Hoole (Guardians of Ga'hoole),K. Lasky,First published in 2006
The Wolf and the Raven,Diana L. Paxson,First published in 1993
The Art of Warhammer,Marc Gascoigne,First published in 2007
Lark Ascending,Meagan Spooner,First published in 2014
Blackwatch,Jenna Burtenshaw,First published in 2011
The creatures of Narnia,Scout Driggs,First published in 2005
Dragons of Darkness,Orson Scott Card,First published in 1981
The art of drawing fantasy characters,Jacob Glaser,First published in 2010
Tuck para siempre,Natalie Babbitt,First published in 1989
Hanging Mountains,Sean Williams,First published in 2005
Steel Crow Saga,Paul Krueger,First published in 2019
Isaac Asimov presents the best fantasy of the 19th century,Isaac Asimov,First published in 1982
Writing Science Fiction and Fantasy,Crawford Kilian,First published in 1998
The secret of the swamp king,Jonathan Rogers,First published in 2005
The dark city,Catherine Fisher,First published in 2011
"The Last Fairy-Apple Tree (Fairy Realm, #4)",Emily Rodda,First published in 2003
The Rose Legacy,Jessica Day George,First published in 2018
Sea Quest: Hydror the Ocean Hunter: Special 7,Adam Blade,First published in 2019
"Lucifer, Book Two",Mike Carey,First published in 2013
How To Draw Paint Fairyland,Linda Ravenscroft,First published in 2008
Madison the Magic Show Fairy,Daisy Meadows,First published in 2011
Land keep,J. Scott Savage,First published in 2009
"Soulful Sex: The Paranormal, Science Fiction and Fantasy Collections",Diana Laurence,First published in 2004
Necromancer nine,Sheri S. Tepper,First published in 1983
Taliessin through Logres.,Charles Williams,First published in 1938
A wizard in absentia,Christopher Stasheff,First published in 1993
World of warcraft: wolfheart,Richard A. Knaak,First published in 2011
Diablo III: the order,Nate Kenyon,First published in 2012
1901,Robert Conroy,First published in 1995
Dreams of a dark warrior,Kresley Cole,First published in 2011
The Peshawar Lancers,S. M. Stirling,First published in 2002
The Good Fairies of New York,Martin Millar,First published in 1992
The Lost Prince,Julie Kagawa,First published in 2012
The snowman storybook,Raymond Briggs,First published in 1990
Sorcery! (Fighting Fantasy),Steve Jackson,First published in 2003
Superman,Jerry Siegel,First published in 2000
Daughters of the Storm,Kim Wilkins,First published in 2018
Offering,Kimberly Derting,First published in 2014
The Wizard Lord: Volume One of the Annals of the Chosen,Lawrence Watt-Evans,First published in 2006
Noodle,Munro Leaf,First published in 1937
"Buffy the Vampire Slayer Season Eight, Volume 2: No Future For You",Brian K. Vaughan,First published in 2008
Victorian fantasy,Stephen Prickett,First published in 1979
Into the thinking kingdoms,Alan Dean Foster,First published in 1999
Faeries' Landing.,Hyŏn Yu,First published in 2004
Rebel belle,Rachel Hawkins,First published in 2014
Reflections,Diana Wynne Jones,First published in 2012
The shadowmancer returns: the curse of Salamander Street,G. P. Taylor,First published in 2007
The wonderful adventures of Phra the Phoenician,Edwin Lester Linden Arnold,First published in 1880
Dark Is the Sun,Philip José Farmer,First published in 1979
High School DxD: Asia and Koneko's Secret Contract!?,Ichiei Ishibumi,First published in 2014
"High School DxD, Vol. 2",Hiroji Mishima,First published in 2014
"High School DxD, Vol. 4: Vampire of the Suspended Classroom",Hiroji Mishima,First published in 2015
The Last Graduate: A Novel,Naomi Novik,First published in 2021
Crown of Chains,Erin Phillips,First published in 2022
The werefox =: originally published as Pure Magic,Elizabeth Jane Coatsworth,First published in 1973
Wolfking,Bridget Wood,First published in 1991
Seven Blades in Black,Sam Sykes,First published in 2019
Bloodchild,Anna Stephens,First published in 2019
Tsubasa,Anthony Gerrard,First published in 2006
The Scarlet Gospels,Clive Barker,First published in 2015
Fire: Book II,Sara B. Elfgren,First published in 2013
Of Sea and Song,Chanda Hahn,First published in 2020
Summer in Orcus,T. Kingfisher,First published in 2017
The scarlet tides,David Hair,First published in 2013
Gifts of Fire and Ice : Book One: the FireNight Prophecies,Darren Boeck,First published in 2020
Fullmetal Alchemist 2 Curse of the Crimson Elixir: Official Strategy Guide,David Cassady,First published in 2005
"Witches: wicked, wild & wonderful",Paula Guran,First published in 2012
Apprentice (The Black Mage Book 2),Rachel E. Carter,First published in 2017
American Gods: Volume 2: My Ainsel,P. Craig Russell,First published in 2018
Night Angel Trilogy: Tenth Anniversary Edition,Brent Weeks,First published in 2009
Aria: the Masterpiece,Kozue Amano,First published in 2019
The Vampires of Alfama,Pierre Kast,First published in 1976
"Claymore, Volume 1 (Claymore)",Norihiro Yagi,First published in 2006
Bump in the Night,Nora Roberts,First published in 2006
The Spook's Secret,Joseph Delaney,First published in 2009
"Dragon Avenger: The Age of Fire, Book Two (Age of Fire)",E.E. Knight,First published in 2006
"Blood lines: World of the Lupi, Book 3",Eileen Wilks,First published in 2007
The Virtu,Sarah Monette,First published in 2006
Shadow's Lure,Jon Sprunk,First published in 2011
Advent,James Treadwell,First published in 2012
Hunting the ghost dancer,A. A. Attanasio,First published in 1991
The Wizardry Consulted,Rick Cook,First published in 1995
Nemesis,Louise Cooper,First published in 1989
Good guys,Steven Brust,First published in 2018
The Gypsy,Steven Brust,First published in 2005
Moonlight and Molly,Maureen Harris,First published in 1918
FROGVILLE: Quest for a Queen,Sharla Frost,First published in 2021
Globalhead,Bruce Sterling,First published in 1992
Hero from Otherwhere,Jay Williams,First published in 1972
The Gate of the Feral Gods,Matt Dinniman,First published in 2021
Power of Fantasy in Early Learning: A Connective Pedagogy,Jenny Tyrrell,First published in 2001
The Book of Hidden Things,Francesco Dimitri,1 edition
Chanting the Dawn,Marylyle Rogers,First published in 1991
Saturn's return to New York,Sara Gran,First published in 2001
Rainbow Magic : Eva the Enchanted Ball Fairy: The Princess Fairies Book 7,Daisy Meadows,First published in 2011
Thorn of Dentonhill,Marshall Ryan Maresca,First published in 2015
Winging It,Annie Dalton,First published in 2002
"Kamisama Kiss Vol 1 Kamisama Kiss",Julietta Suzuki,First published in 2010
Bitter Gold Hearts,Glen Cook,First published in 2007
Rotten Island,William Steig,First published in 1984
The Erl King's daughter,Joan Aiken,First published in 1988
Phantasmagoria,Lewis Carroll,First published in 1930
The secret books of paradys I & II,Tanith Lee,First published in 1988
The boy with two shadows.,Margaret Mahy,First published in 1971
Over the rainbow,Meredith Badger,First published in 2011
Conan the indomitable,Steve Perry,First published in 1989
Love at First Bite: Until Death Do Us Part/ Ride the Night Wind/ The Gift/ The Forgotten One,Sherrilyn Kenyon,First published in 2006
After the Golden Age,Carrie Vaughn,First published in 2011
The stone in the skull,Elizabeth Bear,First published in 2017
Mask of Power: Stump Smash Crosses the Bone Dragon,Onk Beakman,First published in 2013
Earth mobiles as explained by professor Xargle,Jeanne Willis,First published in 1991
Son of the morning,Mark Alder,First published in 2013
William Morris: a critical study,"Drinkwater, John",First published in 1912
Wishing moon,Michael O. Tunnell,First published in 2004
Marion Zimmer Bradley's Ravens of Avalon,Marion Zimmer Bradley,First published in 2007
The Lost Heir,E. G. Foley,First published in 2012
Night of the Long Knives,Fritz Leiber,First published in 2009
The Black Tattoo,Sam Enthoven,First published in 2006
Dangerous Women 3,George R. R. Martin,First published in 2014
Avatar Scholastic Exclusive Volume 1,Unknown,First published in 2006
"Snow, Fire, Sword",Sophie Masson,First published in 2004
Vislak The Slithering Serpent,Adam Blade,First published in 2014
"Secret of the Tower (Circle of Magic, Book 2)",Debra Doyle,First published in 2000
The magical land of Noom,Johnny Gruelle,First published in 1922
A dragon's ascension: a tale of the Band of Four,Ed Greenwood,First published in 2002
Sweet dreams: erotic plots,Robert J. Stoller,First published in 2009
Paragon lost: a chronicle of the King's Blades,Dave Duncan,First published in 2002
Who's been sleeping in your head?: the secret world of sexual fantasies,Brett Kahr,First published in 2008
The broken citadel,Joyce Ballou Gregorian,First published in 1975
The wanderers,Kate Ormand,First published in 2015
Archangel's Enigma: Book 8 (The Guild Hunter Series),Nalini Singh,First published in 2015
"Days of magic, nights of war",Clive Barker,First published in 2004
"Dragonmaster: Dragonmaster Trilogy, Book One (Dragonmaster Trilogy)",Chris Bunch,First published in 2005
A prince among men,Robert N. Charrette,First published in 1994
A Thousand Li: The First Stop: Book 2,Tao Wong,First published in 2019
100 wicked witch stories,Stefan R. Dziemianowicz,First published in 1995
Manna from Heaven,Roger Zelazny,First published in 2003
The strange & beautiful sorrows of Ava Lavender,Leslye J. Walton,First published in 2014
Clash of the Worlds,Chris Columbus,First published in 2016
Call to war,Adam Blade,First published in 2011
Zepha the monster squid,Adam Blade,First published in 2008
Criminal Macabre: The Complete Cal McDonald Stories (Cal Mcdonald),Steve Niles,First published in 2004
Moon in the Palace,Weina Dai Randel,First published in 2016
Tempt Me with Darkness,Shayla Black,First published in 2008
Zarsthor's Bane,Andre Norton,First published in 1978
Bravelands #2: Code of Honor,Erin Hunter,First published in 2018
Dead Things,Stephen Blackmoore,First published in 2013
Sword and Pen,Rachel Caine,First published in 2019
Beyonders The Complete Set: A World Without Heroes; Seeds of Rebellion; Chasing the Prophecy,Brandon Mull,First published in 2013
Cottons: The secret of the wind,Jim Pascoe,First published in 2018
Red Moon,Benjamin Percy,First published in 2013
